Transaction_ID,Date,Customer_Name,Product,Total_Items,Total_Cost,Payment_Method,City,TimeOfDay,Customer_Category,Season,Promotion,Member
1000000010,9/4/2020,Wendy Harris,"['Frozen Fruit', 'Milk', 'Duffel Bag', 'Messenger Bag', 'Carry-on Bag']",5,54.75,Mobile Payment,Hà Nội,7:40:11,Young Adult (20-29),Fall,BOGO (Buy One Get One),Yes
1000000011,12/26/2023,Kristina Tucker,"['Baking Powder', 'Detergent', 'Sweatshirt', 'Hangers', 'Flip Flops', 'Dried Cranberries', 'Plastic Utensils', 'Frozen Breakfast Sandwiches', 'Post-it Notes']",9,88.05,Credit Card,Hà Nội,9:02:04,Adult (30-49),Fall,None,Yes
1000000012,12/26/2022,Gregory Perry,"['Hangers', 'Spaghetti', 'Sunscreen', 'Frozen Vegetables']",4,51.19,Credit Card,Đà Nẵng,7:39:24,Adult (30-49),Fall,None,Yes
1000000013,1/16/2021,Jennifer Sanchez,['Batteries'],1,13.89,Debit Card,Hà Nội,10:04:15,Young Adult (20-29),Winter,None,Yes
1000000014,12/19/2022,Mary Mann,"['Gym Bag', 'Sunscreen', 'Cream Cheese', 'Duct Tape', 'First Aid Kit', 'Toothbrush', 'Olive Oil']",7,72.76,Debit Card,Hải Phòng,15:57:10,Adult (30-49),Fall,None,No
1000000015,9/4/2020,Mary Smith,"['Scrubbers', 'Polo Shirt']",2,21.77,Debit Card,Hồ Chí Minh,16:05:01,Young Adult (20-29),Fall,BOGO (Buy One Get One),Yes
1000000016,6/9/2021,Lauren Bean,['Peanuts'],1,15.13,Credit Card,Hà Nội,12:23:06,Young Adult (20-29),Summer,BOGO (Buy One Get One),Yes
1000000017,10/5/2021,Daniel Bradley,"['Pens', 'Bra', 'Backpack', 'Jelly']",4,37.72,Cash,Hà Nội,12:46:56,Senior (65+),Summer,BOGO (Buy One Get One),Yes
1000000018,11/30/2020,Christopher Garcia,"['Suitcase', 'Ruler']",2,19.81,Credit Card,Hồ Chí Minh,11:41:57,Middle-aged (50-64),Winter,None,Yes
1000000019,7/20/2020,Kyle Myers,"['Ruler', 'Cotton Balls', 'Aluminum Foil', 'Sweatshirt']",4,37.43,Debit Card,Hồ Chí Minh,14:18:04,Middle-aged (50-64),Winter,Discount on Selected Items,Yes
1000000020,1/11/2022,Thomas Mccarthy,"['Canned Tuna', 'Band-Aids', 'Lollipops', 'Conditioner']",4,39.42,Debit Card,Hà Nội,16:35:38,Senior (65+),Summer,BOGO (Buy One Get One),No
1000000021,8/2/2022,Tara Gutierrez,"['Tank Top', 'Plastic Utensils', 'Granola Bars', 'Brownies', 'Pens']",5,35.38,Cash,Hà Nội,11:41:22,Teenager (13-19),Fall,None,Yes
1000000022,4/9/2021,Crystal Martinez,"['Jump Rope', 'Storage Bins', 'First Aid Kit']",3,26.9,Mobile Payment,Đà Nẵng,10:07:39,Teenager (13-19),Summer,BOGO (Buy One Get One),No
1000000023,8/21/2022,Eric Mathis MD,"['Leggings', 'Barbecue Sauce']",2,39.36,Cash,Hà Nội,8:23:06,Middle-aged (50-64),Fall,Discount on Selected Items,Yes
1000000024,12/4/2023,Cynthia Perez,['Cheese'],1,6.15,Debit Card,Hà Nội,16:06:24,Teenager (13-19),Fall,BOGO (Buy One Get One),No
1000000025,3/21/2020,Jeffery Skinner,"['Lotion', 'Beach Towel', 'Colored Pencils']",3,16.63,Debit Card,Hồ Chí Minh,18:49:11,Senior (65+),Fall,Discount on Selected Items,No
1000000026,2/10/2021,Amanda Villanueva,"['Oats', 'Slippers', 'Bleach', 'Pain Relievers', 'Ketchup', 'Envelopes', 'Spaghetti', 'Duct Tape']",8,97.81,Debit Card,Hồ Chí Minh,16:31:16,Middle-aged (50-64),Spring,Discount on Selected Items,No
1000000027,5/12/2020,Denise Gutierrez,"['Protein Shakes', 'Oats', 'Scrubbers', 'Trail Mix', 'Jam']",5,52.98,Mobile Payment,Hồ Chí Minh,11:00:11,Adult (30-49),Summer,BOGO (Buy One Get One),Yes
1000000028,9/15/2022,Jasmine Johns,"['Orange Juice', 'Headbands', 'Plastic Wrap', 'Raincoat', 'Jeans']",5,50.25,Debit Card,Hà Nội,6:27:03,Young Adult (20-29),Fall,BOGO (Buy One Get One),No
1000000029,8/25/2021,Brenda Copeland,"['Lollipops', 'Cucumber', 'Lighter Fluid', 'Bath Mat']",4,30.07,Debit Card,Hồ Chí Minh,12:31:14,Middle-aged (50-64),Winter,None,Yes
1000000030,10/3/2021,Cory Nguyen,"['Paper Towels', 'Carry-on Bag']",2,19.21,Mobile Payment,Hồ Chí Minh,8:17:16,Middle-aged (50-64),Fall,None,Yes
1000000031,12/26/2020,Tyler Goodman,"['Facial Tissue', 'Crayons', 'Frozen Burritos', 'Coat', 'Bath Bombs', 'First Aid Kit']",6,60.43,Cash,Hồ Chí Minh,8:18:52,Young Adult (20-29),Summer,None,No
1000000032,2/8/2023,Victor Murray,"['Hoodie', 'Canned Fruit', 'Cotton Balls', 'Jeans', 'Jump Rope', 'Napkins', 'Bra', 'Batteries', 'Sunscreen', 'Glass Cleaner']",10,93.72,Mobile Payment,Đà Nẵng,16:47:57,Teenager (13-19),Fall,Discount on Selected Items,Yes
1000000033,1/13/2023,Tracy Barnes,"['Ketchup', 'Pens', 'Handbag', 'Water']",4,43.21,Debit Card,Đà Nẵng,15:09:17,Adult (30-49),Spring,BOGO (Buy One Get One),Yes
1000000034,10/15/2021,Ruth Marquez,"['Brown Sugar', 'Bug Spray', 'Shower Shoes']",3,24.29,Debit Card,Hà Nội,9:44:29,Middle-aged (50-64),Spring,Discount on Selected Items,Yes
1000000035,4/19/2023,Adrian Fischer,"['Raincoat', 'Garlic Powder', 'Binders', 'Tape', 'Exercise Bike']",5,58.87,Cash,Hồ Chí Minh,9:28:20,Adult (30-49),Summer,None,No
1000000036,12/3/2020,Carmen Lloyd,['Disinfectant Wipes'],1,13.15,Debit Card,Hà Nội,21:56:19,Middle-aged (50-64),Winter,Discount on Selected Items,Yes
1000000037,5/17/2021,David Thornton,"['Sugar', 'Mints', 'Bobby Pins', 'Orange Juice']",4,49.01,Credit Card,Hà Nội,14:43:27,Young Adult (20-29),Winter,BOGO (Buy One Get One),No
1000000038,10/30/2023,Christina Myers,"['Chocolate', 'Spaghetti']",2,32.05,Mobile Payment,Hồ Chí Minh,15:09:50,Adult (30-49),Winter,None,No
1000000039,11/29/2020,Ricky Glass,"['Notebook Paper', 'Tote Bag', 'Resistance Bands', 'Sponges']",4,45.85,Mobile Payment,Đà Nẵng,15:30:08,Senior (65+),Spring,BOGO (Buy One Get One),Yes
1000000040,7/29/2020,Shawn Blair,"['Mac and Cheese', 'Pens']",2,9.57,Debit Card,Hà Nội,18:55:03,Young Adult (20-29),Winter,Discount on Selected Items,Yes
1000000041,2/16/2020,Joshua Nichols,"['Canned Fruit', 'Hat', 'Ruler', 'Paprika', 'Water', 'Paper Towels', 'Fabric Softener']",7,78.1,Debit Card,Hải Phòng,20:07:31,Young Adult (20-29),Winter,Discount on Selected Items,Yes
1000000042,9/8/2022,Dr. Eduardo Nunez PhD,"['Hand Sanitizer', 'Dish Soap', 'Ramen', 'Frozen Pizza', 'Tomatoes', 'Energy Drinks', 'Milk']",7,91.77,Debit Card,Hà Nội,18:45:22,Senior (65+),Winter,None,Yes
1000000043,4/13/2023,Joshua Holland,"['Napkins', 'Shower Shoes', 'Honey']",3,29.72,Debit Card,Hồ Chí Minh,12:38:00,Adult (30-49),Spring,BOGO (Buy One Get One),No
1000000044,3/16/2020,Craig Wilson,"['Energy Drinks', 'Nail Polish Remover', 'Fabric Softener', 'Canola Oil', 'Juice', 'Allergy Medicine', 'Air Freshener']",7,101.58,Mobile Payment,Hà Nội,14:20:55,Middle-aged (50-64),Winter,None,Yes
1000000045,11/29/2021,Katelyn Jones,"['Oranges', 'Bathrobe', 'Matches', 'Pickles']",4,45.1,Debit Card,Hà Nội,12:12:21,Adult (30-49),Winter,Discount on Selected Items,Yes
1000000046,8/1/2021,Michael Ortiz,"['Resistance Bands', 'Glue', 'Tank Top', 'Frozen Dinners', 'Chicken', 'Thermometer', 'Duct Tape']",7,50.69,Debit Card,Hà Nội,15:47:15,Adult (30-49),Spring,BOGO (Buy One Get One),Yes
1000000047,4/23/2021,Sarah Morgan,"['Lollipops', 'Suitcase', 'Stain Remover', 'Mouthwash', 'Detergent']",5,61.79,Mobile Payment,Hà Nội,15:32:28,Young Adult (20-29),Fall,BOGO (Buy One Get One),Yes
1000000048,12/8/2020,Stephen Acosta,"['Frozen Burritos', 'Yoga Mat', 'Baking Soda', 'Ice Cream Cones', 'Pajamas']",5,59.59,Cash,Hồ Chí Minh,9:15:30,Middle-aged (50-64),Summer,BOGO (Buy One Get One),Yes
1000000049,7/15/2021,William Coleman,"['Pasta Sauce', 'Scissors']",2,18.55,Credit Card,Hồ Chí Minh,6:56:19,Middle-aged (50-64),Spring,Discount on Selected Items,No
1000000050,7/25/2020,Matthew Tapia,"['Toilet Paper', 'Aluminum Foil', 'Folders', 'Hat', 'Sugar', 'Almonds', 'Gum', 'Insect Repellent', 'Frozen Cake', 'Mayonnaise', 'Notebook Paper', 'Goggles']",12,104.91,Credit Card,Cần Thơ,10:52:51,Young Adult (20-29),Summer,None,No
1000000051,9/7/2023,Lisa Jones,"['Wine', 'Bikini', 'Ice Cream Sandwiches', 'Frozen Pie', 'Light Bulbs', 'Canned Tuna']",6,70.5,Cash,Hồ Chí Minh,16:59:59,Senior (65+),Fall,Discount on Selected Items,Yes
1000000052,10/17/2020,Amanda Boone,"['Detergent', 'Tomatoes', 'Jelly', 'Canned Fruit', 'Swim Trunks', 'Bikini']",6,88.5,Mobile Payment,Hà Nội,10:33:44,Teenager (13-19),Summer,BOGO (Buy One Get One),Yes
1000000053,2/20/2022,Mr. Timothy Palmer MD,"['Pasta Sauce', 'Lemonade', 'Nail Polish', 'Milk']",4,53.94,Cash,Hải Phòng,11:29:42,Adult (30-49),Fall,BOGO (Buy One Get One),Yes
1000000054,7/24/2022,Kathleen Alvarado,"['Flip Flops', 'Almonds', 'Bath Salts', 'Picture Frames', 'Spaghetti']",5,39.27,Mobile Payment,Hà Nội,17:46:05,Senior (65+),Spring,BOGO (Buy One Get One),Yes
1000000055,8/17/2022,Katie Kim,"['Shaving Cream', 'Dish Soap', 'Bathrobe', 'Glue', 'Socks', 'Batteries', 'Boots', 'Exercise Ball']",8,87.63,Mobile Payment,Hà Nội,10:21:11,Young Adult (20-29),Winter,Discount on Selected Items,Yes
1000000056,11/23/2021,Victoria Lozano,"['Dish Soap', 'Laundry Basket', 'Body Wash', 'Bug Spray']",4,49.4,Credit Card,Cần Thơ,19:43:36,Senior (65+),Summer,None,Yes
1000000057,2/2/2022,Cheryl Green,"['Paprika', 'Plastic Wrap', 'Water', 'Ice Cream Cones', 'Slippers']",5,56.07,Mobile Payment,Hồ Chí Minh,10:07:04,Adult (30-49),Winter,Discount on Selected Items,No
1000000058,9/29/2023,Emily Jackson,"['Jump Rope', 'Sandals', 'Brown Sugar', 'Matches', 'Cookies', 'Calculator', 'Moving Boxes', 'Cinnamon', 'Baking Soda']",9,91.05,Mobile Payment,Hà Nội,7:01:05,Adult (30-49),Winter,None,No
1000000059,9/10/2020,Kimberly Bailey,"['Bread', 'Frozen Waffles', 'Napkins']",3,27.19,Debit Card,Hà Nội,15:28:15,Middle-aged (50-64),Spring,Discount on Selected Items,No
1000000060,10/19/2020,Elizabeth Mitchell,"['Bath Bombs', 'Muffins', 'Sunscreen', 'Capri Pants']",4,13.81,Debit Card,Đà Nẵng,15:52:37,Adult (30-49),Fall,None,Yes
1000000061,3/17/2021,Gerald Clark,"['Ice Cream Sandwiches', 'Photo Albums', 'Peanuts', 'Exercise Ball', 'Shampoo']",5,64.66,Mobile Payment,Cần Thơ,17:05:32,Senior (65+),Winter,BOGO (Buy One Get One),Yes
1000000062,12/16/2022,Daniel Pierce,"['Butter', 'Paper Towels', 'Brownies', 'Toothbrush', 'Headbands', 'Protein Powder']",6,60.9,Debit Card,Hồ Chí Minh,18:31:33,Senior (65+),Winter,Discount on Selected Items,Yes
1000000063,9/10/2021,Deborah Fuller,"['Charcoal', 'Tomatoes', 'Exercise Bike', 'Wine', 'Body Wash']",5,70.18,Mobile Payment,Đà Nẵng,14:46:59,Young Adult (20-29),Fall,Discount on Selected Items,Yes
1000000064,7/23/2021,Matthew Collins,"['Binders', 'Tweezers', 'Crackers']",3,25.33,Credit Card,Hồ Chí Minh,17:20:51,Senior (65+),Summer,None,No
1000000065,4/23/2020,Paige Zuniga,"['Laptop Bag', 'Resistance Bands', 'One-Piece Swimsuit', 'Oats', 'Pretzels']",5,40.61,Cash,Hồ Chí Minh,19:54:31,Adult (30-49),Spring,None,No
1000000066,7/3/2020,Jeff Cunningham,"['Frozen Meatballs', 'Briefcase', 'Water', 'Workout Clothes']",4,37.28,Debit Card,Hà Nội,16:31:08,Teenager (13-19),Summer,BOGO (Buy One Get One),No
1000000067,8/9/2022,Angie Cabrera,"['Shorts', 'Canned Vegetables', 'Sunglasses', 'Chicken', 'Butter', 'Air Freshener']",6,66.98,Credit Card,Hồ Chí Minh,8:19:39,Teenager (13-19),Fall,Discount on Selected Items,Yes
1000000068,11/30/2020,Philip Richardson,"['Light Bulbs', 'Toilet Paper', 'Suitcase', 'Facial Tissue', 'Underwear']",5,27.12,Mobile Payment,Hồ Chí Minh,4:10:50,Adult (30-49),Winter,BOGO (Buy One Get One),No
1000000069,11/3/2021,Kurt Alvarez,"['Gloves', 'Duct Tape', 'Donuts', 'Iced Tea', 'Razors', 'Flashlight']",6,75.22,Mobile Payment,Hà Nội,12:04:23,Adult (30-49),Summer,BOGO (Buy One Get One),No
1000000070,12/13/2020,Denise Bryant,"['Bath Bombs', 'Frozen Vegetables', 'Hat', 'Goggles', 'Syrup']",5,48.86,Mobile Payment,Hải Phòng,19:42:45,Middle-aged (50-64),Fall,Discount on Selected Items,Yes
1000000071,3/30/2021,Phillip Contreras,"['Dried Cranberries', 'Bubble Wrap', 'Toothpaste']",3,14.27,Mobile Payment,Cần Thơ,17:31:47,Young Adult (20-29),Summer,BOGO (Buy One Get One),No
1000000072,10/6/2020,Erica Ewing,"['Ice Cream Tubs', 'Milk']",2,26.12,Debit Card,Hồ Chí Minh,12:13:02,Young Adult (20-29),Winter,BOGO (Buy One Get One),No
1000000073,8/18/2023,Stephen Greer PhD,"['Cashews', 'Pretzels']",2,20.96,Mobile Payment,Cần Thơ,13:52:02,Middle-aged (50-64),Winter,Discount on Selected Items,Yes
1000000074,6/30/2022,Joshua Beck,"['Lighter Fluid', 'Sponges', 'Toothbrush', 'Yoga Pants', 'Cream Cheese', 'Plastic Cups', 'Underwear', 'Shaving Cream', 'Index Cards']",9,82.16,Mobile Payment,Hồ Chí Minh,6:07:03,Young Adult (20-29),Winter,Discount on Selected Items,No
1000000075,12/11/2021,Sharon Lee,"['Sports Bra', 'Treadmill', 'Socks', 'Facial Tissue']",4,18.53,Credit Card,Hồ Chí Minh,21:45:31,Young Adult (20-29),Winter,Discount on Selected Items,Yes
1000000076,11/30/2020,Stephen Mcgee,"['Pain Relievers', 'Foam Roller', 'Hangers', 'Slippers', 'Chocolate', 'Juice']",6,73.21,Mobile Payment,Hà Nội,13:05:17,Teenager (13-19),Fall,Discount on Selected Items,Yes
1000000077,5/6/2023,Sonya Taylor,"['Bath Salts', 'Instant Noodles', 'Tank Top', 'Luggage', 'Cough Drops', 'Sorbets', 'Gelato', 'Crackers', 'Comb', 'Rowing Machine']",10,101.98,Credit Card,Đà Nẵng,14:54:07,Adult (30-49),Fall,None,No
1000000078,3/30/2022,Robin Bryant,"['Bug Spray', 'Swim Trunks', 'Facial Tissue']",3,30.82,Mobile Payment,Hà Nội,15:14:51,Teenager (13-19),Winter,Discount on Selected Items,Yes
1000000079,7/14/2020,Candice Miranda,"['Bug Spray', 'Onion Powder']",2,11.91,Cash,Hồ Chí Minh,4:44:45,Adult (30-49),Fall,None,Yes
1000000080,9/20/2020,Lance Huynh,"['Ice Cream Cones', 'Pretzels']",2,28.34,Mobile Payment,Hồ Chí Minh,8:35:05,Adult (30-49),Spring,BOGO (Buy One Get One),No
1000000081,10/19/2023,Michael Perez,"['Umbrella', 'Raisins', 'Canola Oil', 'Lighter']",4,45.22,Credit Card,Hà Nội,8:32:04,Teenager (13-19),Summer,Discount on Selected Items,Yes
1000000082,4/14/2021,Sheena Perez,"['Post-it Notes', 'Backpack', 'Photo Albums', 'Deodorant']",4,53.39,Mobile Payment,Hà Nội,10:07:39,Middle-aged (50-64),Winter,BOGO (Buy One Get One),Yes
1000000083,8/22/2021,Christian Johnson,"['Soda', 'Glass Cleaner', 'Storage Bins', 'Popsicles']",4,49.23,Credit Card,Hồ Chí Minh,10:52:28,Adult (30-49),Summer,BOGO (Buy One Get One),Yes
1000000084,5/20/2020,Crystal Mitchell,"['Tape', 'Batteries', 'Frozen Burritos']",3,51.17,Mobile Payment,Hà Nội,16:56:55,Adult (30-49),Spring,Discount on Selected Items,No
1000000085,6/29/2023,Edward Taylor,"['Binders', 'Bubble Wrap', 'Headbands', 'One-Piece Swimsuit', 'Frozen Fries', 'Skirt', 'Sneakers']",7,57.93,Credit Card,Hà Nội,16:19:17,Teenager (13-19),Winter,BOGO (Buy One Get One),No
1000000086,12/24/2020,Erica Gregory,"['Frozen Waffles', 'Honey', 'Capri Pants']",3,28.02,Mobile Payment,Đà Nẵng,13:52:00,Young Adult (20-29),Spring,Discount on Selected Items,Yes
1000000087,4/3/2022,Mary Sullivan,"['Wine', 'Handbag', 'Paper Towels', 'Lighter Fluid', 'Scrubbers', 'Bikini']",6,76.54,Debit Card,Hồ Chí Minh,12:25:23,Middle-aged (50-64),Summer,Discount on Selected Items,No
1000000088,11/21/2022,Jacqueline Luna,"['Yoga Mat', 'Sports Drinks', 'Raincoat', 'Mints', 'Cold Medicine']",5,34.6,Debit Card,Đà Nẵng,14:27:11,Adult (30-49),Summer,Discount on Selected Items,No
1000000089,2/24/2022,Paul Graham,"['Brown Sugar', 'Mayonnaise', 'Cashews', 'Toothpaste']",4,43.18,Mobile Payment,Hải Phòng,13:13:04,Young Adult (20-29),Fall,Discount on Selected Items,Yes
1000000090,7/2/2021,Amanda Smith,['Canned Tuna'],1,16.46,Cash,Hồ Chí Minh,20:44:57,Adult (30-49),Winter,Discount on Selected Items,Yes
1000000091,1/15/2021,Luis Gomez,"['Storage Bins', 'Towels', 'Bathrobe', 'Foam Roller']",4,45.43,Cash,Cần Thơ,7:27:29,Senior (65+),Summer,BOGO (Buy One Get One),Yes
1000000092,10/9/2022,Justin Barr,['Water'],1,6.69,Credit Card,Hà Nội,18:49:53,Middle-aged (50-64),Spring,Discount on Selected Items,No
1000000093,1/10/2021,Kevin Ray,"['Gelato', 'Hairbrush', 'Pens', 'Floss', 'Apples', 'Plastic Utensils', 'Crayons', 'Salt', 'Beef', 'Syrup', 'Canned Soup', 'Laundry Detergent']",12,93.64,Mobile Payment,Hồ Chí Minh,13:29:45,Senior (65+),Winter,BOGO (Buy One Get One),Yes
1000000094,6/18/2022,Olivia Moore,"['Canola Oil', 'Cookies', 'Bubble Wrap', 'Envelopes', 'Frozen Sausages', 'Dress', 'Toilet Bowl Cleaner', 'Socks', 'Mustard']",9,68.65,Credit Card,Hải Phòng,18:26:04,Middle-aged (50-64),Fall,BOGO (Buy One Get One),Yes
1000000095,10/29/2023,Timothy Martinez,"['Laundry Detergent', 'Tweezers', 'Workout Clothes']",3,13.75,Debit Card,Hà Nội,17:04:45,Senior (65+),Winter,BOGO (Buy One Get One),No
1000000096,9/9/2023,Paul Perez,"['Toilet Bowl Cleaner', 'Dried Cranberries', 'Cucumber', 'Boots', 'Air Freshener', 'Canned Fruit']",6,49.25,Debit Card,Hà Nội,14:30:16,Middle-aged (50-64),Winter,None,Yes
1000000097,9/7/2022,Grace Roberts,"['Chicken', 'Mustard', 'Almonds', 'Bikini', 'Jelly', 'Ruler', 'Cough Syrup', 'Ziploc Bags', 'Dumbbells', 'Elliptical', 'Ice Cream Sandwiches']",11,101.96,Cash,Đà Nẵng,11:11:25,Middle-aged (50-64),Winter,None,Yes
1000000098,5/19/2022,Jennifer Richardson,"['Foam Roller', 'Dumbbells', 'Nail Polish', 'Construction Paper', 'Bananas']",5,73.46,Credit Card,Hà Nội,9:05:33,Adult (30-49),Spring,Discount on Selected Items,Yes
1000000099,8/18/2020,Joseph Cook,"['Ruler', 'Swim Trunks', 'Plastic Utensils', 'Brownies', 'Nail Polish Remover', 'Ice Cream Cones', 'Ramen']",7,99.15,Debit Card,Hồ Chí Minh,14:47:59,Adult (30-49),Summer,None,No
1000000100,4/2/2023,Bradley Rodriguez,"['Disinfectant Wipes', 'Frozen Pancakes', 'Leggings', 'Sorbets', 'Storage Bins', 'T-Shirt']",6,79.55,Credit Card,Hồ Chí Minh,20:23:41,Middle-aged (50-64),Spring,None,Yes
1000000101,8/21/2023,Seth Reynolds,"['Cookies', 'Headbands', 'Passport Holder']",3,34.63,Cash,Hà Nội,7:06:14,Adult (30-49),Summer,BOGO (Buy One Get One),Yes
1000000102,5/20/2021,Xavier Cummings,"['Glue', 'Resistance Bands', 'Jam', 'Cucumber']",4,26.45,Debit Card,Cần Thơ,8:27:23,Teenager (13-19),Summer,None,Yes
1000000103,3/31/2020,Tyler Rivera,"['Jacket', 'Frozen Sausages', 'Workout Clothes', 'Ziploc Bags', 'Cinnamon']",5,43.16,Cash,Đà Nẵng,13:22:21,Adult (30-49),Summer,Discount on Selected Items,No
1000000104,2/16/2022,Jeremy Campbell,"['Frozen Dinners', 'Plastic Utensils', 'Tank Top']",3,15.86,Cash,Hà Nội,12:41:15,Adult (30-49),Fall,None,No
1000000105,9/22/2021,Danielle Crawford,"['Luggage', 'Laundry Basket', 'Chewing Gum', 'Toothbrush', 'Swim Trunks', 'Scrubbers']",6,58.27,Debit Card,Hà Nội,10:13:11,Young Adult (20-29),Spring,Discount on Selected Items,Yes
1000000106,5/25/2023,Jillian Jones,"['Deodorant', 'Energy Drinks', 'Mac and Cheese', 'Bra', 'Beer', 'Index Cards', 'Toothbrush']",7,71.04,Cash,Hà Nội,9:41:03,Young Adult (20-29),Winter,None,Yes
1000000107,1/4/2023,John Zuniga,"['Flip Flops', 'Sunscreen', 'Bread', 'Tank Top', 'Markers', 'Donuts', 'Pants']",7,58.94,Mobile Payment,Cần Thơ,11:29:05,Adult (30-49),Winter,None,No
1000000108,9/21/2021,Joseph Montoya,"['Trash Bags', 'Shower Shoes', 'Shampoo', 'Oats', 'Lollipops']",5,43.42,Cash,Đà Nẵng,14:57:49,Middle-aged (50-64),Spring,BOGO (Buy One Get One),Yes
1000000109,2/15/2022,Ashley Gonzalez,"['Olive Oil', 'Swim Trunks', 'Shelving', 'Toothbrush', 'Ketchup', 'Backpack']",6,59.01,Mobile Payment,Hải Phòng,8:09:00,Middle-aged (50-64),Spring,Discount on Selected Items,Yes
1000000110,12/1/2021,Brendan Wright,"['Olive Oil', 'Cotton Balls', 'Vegetable Oil', 'Pants', 'Paper Cups']",5,53.35,Credit Card,Hồ Chí Minh,16:53:13,Young Adult (20-29),Summer,None,No
1000000111,8/23/2022,Amber Wagner,"['Paper Towels', 'Energy Drinks', 'Flashlight', 'Coffee', 'Paprika', 'Candles']",6,67.85,Credit Card,Hà Nội,16:51:34,Young Adult (20-29),Fall,Discount on Selected Items,No
1000000112,7/22/2022,Christian Frank,"['Comb', 'Toilet Bowl Cleaner', 'Notebooks', 'Thermometer', 'Baking Powder', 'Protein Powder', 'Bubble Wrap']",7,66.63,Credit Card,Hồ Chí Minh,22:10:34,Senior (65+),Spring,Discount on Selected Items,Yes
1000000113,8/20/2022,Kristy Burton,"['Sorbets', 'Iced Tea']",2,26.88,Credit Card,Hà Nội,20:40:29,Middle-aged (50-64),Winter,Discount on Selected Items,Yes
1000000114,11/14/2020,Jennifer Nielsen,"['Sweatshirt', 'Dryer Sheets', 'T-Shirt', 'Duct Tape', 'Bathrobe', 'Kettlebells', 'Jam']",7,72.85,Debit Card,Hồ Chí Minh,18:17:14,Middle-aged (50-64),Summer,BOGO (Buy One Get One),Yes
1000000115,3/19/2023,Daniel Eaton,"['Capri Pants', 'Shorts', 'Hand Sanitizer']",3,18.83,Cash,Hà Nội,17:28:57,Senior (65+),Fall,Discount on Selected Items,No
1000000116,3/18/2020,Tyler Graham,"['Shower Curtain', 'Conditioner', 'Shaving Cream']",3,27.7,Cash,Hà Nội,16:54:35,Middle-aged (50-64),Spring,Discount on Selected Items,Yes
1000000117,1/18/2021,Patrick Webb,"['Kettlebells', 'Floss', 'Frozen Vegetables', 'Mayonnaise', 'Bath Mat']",5,36.83,Credit Card,Hà Nội,8:31:15,Adult (30-49),Spring,Discount on Selected Items,No
1000000118,3/22/2022,Stanley Mcknight,"['Allergy Medicine', 'Honey', 'Polo Shirt', 'Pants']",4,51.34,Mobile Payment,Hà Nội,9:51:29,Middle-aged (50-64),Spring,None,Yes
1000000119,2/6/2020,Luis Johnson,"['Hat', 'Peanut Butter', 'Frozen Meatballs', 'Sports Bra', 'Laundry Detergent', 'Bread', 'Pull-up Bar', 'Folders']",8,85.63,Mobile Payment,Hà Nội,19:02:52,Adult (30-49),Fall,Discount on Selected Items,Yes
